@@@@ Succesfully loaded iter 2999
@@@@ Successfully loaded data: train_set 210 | test_set 89
@@@@ Starting training!
saved at  2999
[3093/10000]; ttime: 20 (0.01, 0.02); loss: 0.353
[3094/10000]; ttime: 20 (0.02, 0.29); loss: 0.336
[3095/10000]; ttime: 20 (0.02, 0.03); loss: 0.340
[3096/10000]; ttime: 20 (0.01, 0.02); loss: 0.336
[3097/10000]; ttime: 20 (0.01, 0.02); loss: 0.338
[3098/10000]; ttime: 21 (0.01, 0.02); loss: 0.327
[3099/10000]; ttime: 21 (0.01, 0.02); loss: 0.333
[3100/10000]; ttime: 21 (0.01, 0.02); loss: 0.333
[3101/10000]; ttime: 21 (0.02, 0.28); loss: 0.329
[3102/10000]; ttime: 21 (0.01, 0.02); loss: 0.331
[3103/10000]; ttime: 21 (0.01, 0.02); loss: 0.334
[3104/10000]; ttime: 21 (0.01, 0.02); loss: 0.333
[3105/10000]; ttime: 22 (0.01, 0.02); loss: 0.352
[3106/10000]; ttime: 22 (0.01, 0.02); loss: 0.342
[3107/10000]; ttime: 22 (0.01, 0.02); loss: 0.341
[3108/10000]; ttime: 22 (0.02, 0.65); loss: 0.345
[3109/10000]; ttime: 23 (0.02, 0.03); loss: 0.327
[3110/10000]; ttime: 23 (0.02, 0.03); loss: 0.326
[3111/10000]; ttime: 23 (0.01, 0.02); loss: 0.329
[3112/10000]; ttime: 23 (0.01, 0.02); loss: 0.331
[3113/10000]; ttime: 23 (0.01, 0.02); loss: 0.333
[3114/10000]; ttime: 23 (0.01, 0.02); loss: 0.334
[3115/10000]; ttime: 24 (0.02, 0.88); loss: 0.342
[3116/10000]; ttime: 24 (0.01, 0.02); loss: 0.327
[3117/10000]; ttime: 24 (0.01, 0.02); loss: 0.340
[3118/10000]; ttime: 24 (0.01, 0.02); loss: 0.320
[3119/10000]; ttime: 24 (0.01, 0.02); loss: 0.339
[3120/10000]; ttime: 24 (0.01, 0.02); loss: 0.346
[3121/10000]; ttime: 25 (0.01, 0.02); loss: 0.349
[3122/10000]; ttime: 25 (0.02, 0.24); loss: 0.339
[3123/10000]; ttime: 25 (0.01, 0.03); loss: 0.332
[3124/10000]; ttime: 25 (0.01, 0.02); loss: 0.339
